Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
36 /_1508149748341/redot.gif/id=pz.rOzMzyEu_aZ7.Vv.xgGXF3wjZFwe.seApEVPBUcb.T7/stparam=qehhgxelto/fastid=gbzwsejjscqvkxbtdimpqevyplmv/sarg=59DFE50A4C941D20,1,385,385,385,"0,00","0,000%","2,59740","1,48","1,57","583,0"
35 /_1508149748333/redot.gif/id=okswsft0C4ky1xe605kXloaSHQJp2uNaevC.UzWUMZj.27/stparam=ofmrlqngjq/fastid=bdrteidcuhsebwlfxoxyziixovmq/sarg=59DFE50A4C941D20,1,394,394,394,"0,00","0,000%","2,53807","1,45","1,53","583,0"
38 /_1508149748356/redot.gif/id=okswsft0C4ky1xe605kXloaSHQJp2uNaevC.UzWUMZj.27/stparam=siiljvejda/fastid=lrrfoqaldfhtfrfohspbicyiuxlg/sarg=59DFE50A4C941D20,1,489,489,489,"0,00","0,000%","2,04499","1,16","1,23","583,0"
40 /_1508149748387/redot.gif/id=pyZLmbM1EGNejpgiKcKuoJPZ33MGLm_kANvkoaeHR_..h7/stparam=tfenbofqsx/fastid=kxdodciehbibcrgmublilieuqniz/sarg=59DFE50A4C941D20,1,457,457,457,"0,00","0,000%","2,18818","1,25","1,32","583,0"
39 /_1508149748362/redot.gif/id=bJGbGZwwJNH.b6CsdD6uuMcPfXBwsXuqwLQeoRBmlDL.M7/stparam=whimduitow/fastid=mbdnfgonjbcujimqwdjxdkoiujkf/sarg=59DFE50A4C941D20,1,475,475,475,"0,00","0,000%","2,10526","1,20","1,27","583,0"
37 /_1508149748349/redot.gif/id=pz.rOzMzyEu_aZ7.Vv.xgGXF3wjZFwe.seApEVPBUcb.T7/stparam=wcjkpmrrtu/fastid=lspcrpukorskwaiswworwmhfzwot/sarg=59DFE50A4C941D20,1,495,495,495,"0,00","0,000%","2,02020","1,15","1,22","583,0"
46 /1/hit.t,1,546,546,546,"0,00","0,000%","1,83150","1,60","3,03","893,0"
44 /_1508149748438/redot.gif,1,548,548,548,"0,00","0,000%","1,82482","1,04","1,52","583,0"
45 /_1508149748438/redot.gif,1,548,548,548,"0,00","0,000%","1,82482","1,04","1,68","583,0"
42 /_1508149748426/redot.gif/id=.Fs1vT.RATIMmE9aILW9SpaE.KmFTuQzZjQYY0v9MBT.M7/stparam=memtithies/fastid=eigmcwmmwfathqigdwgqrakykmkv/sarg=59DFE50A4C941D20,1,558,558,558,"0,00","0,000%","1,79211","1,02","1,08","583,0"
28 /delivery/rta/rta.js,1,684,684,684,"0,00","0,000%","1,46199","0,98","0,56","687,0"
41 /_1508149748413/redot.gif/id=ciU7MormcMV99JeTSLiQFNVp3wmBaK_vC_DKhSwp7IX.g7/stparam=qdmojlklbw/fastid=gfovytheaswncckojrwtevcmytms/sarg=59DFE50A4C941D20,1,527,527,527,"0,00","0,000%","1,89753","1,08","1,14","583,0"
pagead2.googlesyndication.com:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","709,0"
48 /frontend/api/matchMainScript.js,1,625,625,625,"0,00","0,000%","1,60000","2,57","0,70","1643,0"
43 /_1508149748/redot.gif,1,710,710,710,"0,00","0,000%","1,40845","0,80","0,81","583,0"
adservice.google.com:443,3,0,0,0,"0,00","100,000%",",00000","0,00","0,00","989,0"
50 /success.txt,1,505,505,505,"0,00","0,000%","1,98020","0,74","0,59","384,0"
47 /_1508149748352/ad.js,1,908,908,908,"0,00","0,000%","1,10132","1,19","0,52","1105,0"
49 /_1508149748342/ad.js,1,920,920,920,"0,00","0,000%","1,08696","1,11","0,51","1050,0"
51 /_1508149748201/ad.js,1,311,311,311,"0,00","0,000%","3,21543","3,36","1,50","1069,0"
52 /_1508149748183/ad.js,1,362,362,362,"0,00","0,000%","2,76243","2,94","1,29","1091,0"
53 /success.txt,1,321,321,321,"0,00","0,000%","3,11526","1,17","0,93","384,0"
googleads.g.doubleclick.net:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
55 /_1508149749869/redot.gif,1,418,418,418,"0,00","0,000%","2,39234","1,36","1,31","583,0"
54 /_1508149749852/redot.gif,1,455,455,455,"0,00","0,000%","2,19780","1,25","1,20","583,0"
57 /_1508149750031/redot.gif,1,297,297,297,"0,00","0,000%","3,36700","1,92","1,84","583,0"
58 /_1508149750070/redot.gif,1,314,314,314,"0,00","0,000%","3,18471","1,81","1,74","583,0"
56 /success.txt,1,414,414,414,"0,00","0,000%","2,41546","0,91","0,72","384,0"
securepubads.g.doubleclick.net:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
59 /success.txt,1,385,385,385,"0,00","0,000%","2,59740","0,97","0,78","384,0"
60 /frontend/api/sendData.js,1,371,371,371,"0,00","0,000%","2,69542","1,46","1,27","553,0"
61 /_1508149756600/rexdot.js,1,299,299,299,"0,00","0,000%","3,34448","2,12","2,49","649,0"
RAZEM,75,347,0,920,"219,90","18,667%","11,90098","29,30","5,59","2521,0"
