Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /1/hit.t,50,203,162,240,"18,97","0,000%","4,99351","10,19","10,25","2089,0"
2 /,50,594,510,843,"66,11","0,000%","4,84027","501,13","3,20","106018,9"
3 /success.txt,50,332,228,3258,"422,40","0,000%","5,05102","1,89","1,51","384,0"
4 /success.txt,50,128,108,300,"27,02","0,000%","5,12295","1,92","1,54","384,0"
5 /success.txt,50,127,110,162,"12,42","0,000%","5,12978","1,92","1,54","384,0"
6 /success.txt,50,138,105,584,"65,00","0,000%","5,12926","1,92","1,54","384,0"
7 /success.txt,50,138,110,552,"60,17","0,000%","5,13611","1,93","1,54","384,0"
RAZEM,350,237,105,3258,"230,99","0,000%","31,14988","478,15","18,74","15718,3"
