Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
66 /_/jsonapi/,1,1517,1517,1517,"0,00","100,000%",",65920","3,31","0,29","5149,0"
71 /1/hit.t,1,1151,1151,1151,"0,00","0,000%",",86881","0,76","1,16","891,0"
70 /success.txt,1,2231,2231,2231,"0,00","0,000%",",44823","0,17","0,13","384,0"
67 /_/both/,1,2956,2956,2956,"0,00","100,000%",",33829","37,49","0,21","113493,0"
73 /1/hit.t,1,1350,1350,1350,"0,00","0,000%",",74074","0,64","0,92","891,0"
74 /1/hit.t,1,1364,1364,1364,"0,00","0,000%",",73314","0,21","0,64","292,0"
75 /delivery/rta/rta.js,1,1433,1433,1433,"0,00","0,000%",",69784","0,47","0,27","687,0"
76 /frontend/api/bootstrapScript.js,1,1430,1430,1430,"0,00","0,000%",",69930","0,63","0,31","922,0"
77 /1/hit.t,1,1160,1160,1160,"0,00","0,000%",",86207","0,75","1,21","891,0"
78 /_1508176713641/redot.gif,1,1072,1072,1072,"0,00","0,000%",",93284","0,53","0,68","583,0"
79 /1/hit.t,1,1063,1063,1063,"0,00","0,000%",",94073","0,82","1,46","891,0"
68 /_/intext_static/,1,4964,4964,4964,"0,00","100,000%",",20145","16,77","0,12","85228,0"
"80 /plotki/news-monika-zamachowska-nawrocila-sie-cierpie-na-stany-lekowe-pot,nId,2452891",1,2097,2097,2097,"0,00","0,000%",",47687","13,26","0,21","28465,0"
72 /_1508176712373/ad.js,1,4357,4357,4357,"0,00","100,000%",",22952","6,56","0,15","29263,0"
83 /s/print-2c8bb67e30695b22aab8948740d994a7.css,1,872,872,872,"0,00","0,000%","1,14679","0,98","0,47","877,0"
85 /j/common-75dd11ce9006b3f1b52a266799319b8b.js,1,865,865,865,"0,00","0,000%","1,15607","1,30","0,46","1151,0"
84 /s/recommend-1c2dc3434b6c905009b3c671d3977e39.css,1,877,877,877,"0,00","0,000%","1,14025","2,07","0,47","1858,0"
88 /j/ads-mixer.20170930.js,1,882,882,882,"0,00","0,000%","1,13379","0,60","0,43","546,0"
87 /j/header-facebook-likeButton-470b4e9f88b422d4288715aa544f11ef.js,1,885,885,885,"0,00","0,000%","1,12994","1,13","0,47","1024,0"
90 /j/ads-sidebar-a6a67018413cce2dd0ec701355995b6b.js,1,915,915,915,"0,00","0,000%","1,09290","1,40","0,44","1309,0"
89 /inpl.hb/1.0.7/inpl.hb.js,1,911,911,911,"0,00","0,000%","1,09769","0,97","0,41","908,0"
92 /xgemius.js,1,729,729,729,"0,00","0,000%","1,37174","6,42","0,50","4790,0"
86 /inpl.videoplayer/3.0.33/theme/pomponik/s.css,1,903,903,903,"0,00","0,000%","1,10742","7,43","0,45","6867,0"
91 /success.txt,1,997,997,997,"0,00","0,000%","1,00301","0,38","0,30","384,0"
81 /s/main-c26d155d4d1ac41dcaead8da9e394b0d.css,1,1370,1370,1370,"0,00","0,000%",",72993","12,90","0,30","18096,0"
82 /s/article-d84cbe9c9fafa283cb7c604968b2fe70.css,1,1379,1379,1379,"0,00","0,000%",",72516","12,89","0,30","18200,0"
93 /fpdata.js,1,1005,1005,1005,"0,00","0,000%",",99502","0,64","0,56","660,0"
94 /i/pomponik_logo.svg,1,931,931,931,"0,00","0,000%","1,07411","1,73","0,40","1647,0"
95 /p.gif,1,935,935,935,"0,00","0,000%","1,06952","0,36","0,38","340,0"
101 /1/hit.t,1,984,984,984,"0,00","0,000%","1,01626","0,88","1,93","891,0"
[100 /dobry-tydzien/00045HAZCRTTQ7Q5-C301.jpg],1,990,990,990,"0,00","0,000%","1,01010","4,36","0,39","4420,0"
