Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
31 /_1508177463874/redot.gif/id=.KDlpDhTCY5ZqTgtGgQWK8TYP_1NAPu.21sSSSGyJib.27/stparam=teceerrrzf/fastid=bwgfbbwaavcomllcwdwxzkfodcka/sarg=59DFE50A4C941D20,1,191,191,191,"0,00","0,000%","5,23560","2,98","3,15","583,0"
33 /_1508177463896/redot.gif/id=okswsft0C4ky1xe605kXloaSHQJp2uNaevC.UzWUMZj.27/stparam=ofmrlqngjq/fastid=bdrteidcuhsebwlfxoxyziixovmq/sarg=59DFE50A4C941D20,1,186,186,186,"0,00","0,000%","5,37634","3,06","3,24","583,0"
32 /_1508177463881/redot.gif/id=ofhL0j_pmFn_Daq5_PfPepZDLcBdioN68YzVBYcxqW3.q7/stparam=tgeloplgbj/fastid=axvghuahqpxbaccpiexabtsrfcjv/sarg=59DFE50A4C941D20,1,216,216,216,"0,00","0,000%","4,62963","2,64","2,79","583,0"
34 /_1508177464066/redot.gif/id=..swsfQ9EwoHprNgkH_v3JQJP6LiBPsDdRSlqDFnwnL.a7/stparam=kojfevsmii/fastid=bcttbblnfpcoabmnygxslmvwqhld/sarg=59DFE50A4C941D20,1,99,99,99,"0,00","0,000%","10,10101","5,75","6,09","583,0"
35 /_1508177464059/redot.gif/id=..rrELvewFvJEMHqvJ9F92ZUfZWNEQe3B9WYPFrCk9..D7/stparam=xciglrmsmn/fastid=jmwsfhjkyclymkfvkmojpcryonmt/sarg=59DFE50A4C941D20,1,120,120,120,"0,00","0,000%","8,33333","4,74","5,02","583,0"
36 /_1508177463920/redot.gif/id=pz.rOzMzyEu_aZ7.Vv.xgGXF3wjZFwe.seApEVPBUcb.T7/stparam=qehhgxelto/fastid=gbzwsejjscqvkxbtdimpqevyplmv/sarg=59DFE50A4C941D20,1,123,123,123,"0,00","0,000%","8,13008","4,63","4,90","583,0"
38 /_1508177464084/redot.gif/id=bJGbGZwwJNH.b6CsdD6uuMcPfXBwsXuqwLQeoRBmlDL.M7/stparam=whimduitow/fastid=mbdnfgonjbcujimqwdjxdkoiujkf/sarg=59DFE50A4C941D20,1,100,100,100,"0,00","0,000%","10,00000","5,69","6,03","583,0"
39 /_1508177464152/redot.gif/id=pyZLmbM1EGNejpgiKcKuoJPZ33MGLm_kANvkoaeHR_..h7/stparam=tfenbofqsx/fastid=kxdodciehbibcrgmublilieuqniz/sarg=59DFE50A4C941D20,1,110,110,110,"0,00","0,000%","9,09091","5,18","5,48","583,0"
37 /success.txt,1,179,179,179,"0,00","0,000%","5,58659","2,09","1,67","384,0"
40 /_1508177464280/redot.gif/id=ciU7MormcMV99JeTSLiQFNVp3wmBaK_vC_DKhSwp7IX.g7/stparam=qdmojlklbw/fastid=gfovytheaswncckojrwtevcmytms/sarg=59DFE50A4C941D20,1,78,78,78,"0,00","0,000%","12,82051","7,30","7,72","583,0"
41 /_1508177464292/redot.gif/id=.Fs1vT.RATIMmE9aILW9SpaE.KmFTuQzZjQYY0v9MBT.M7/stparam=memtithies/fastid=eigmcwmmwfathqigdwgqrakykmkv/sarg=59DFE50A4C941D20,1,125,125,125,"0,00","0,000%","8,00000","4,55","4,82","583,0"
43 /_1508177464315/redot.gif,1,120,120,120,"0,00","0,000%","8,33333","4,74","7,69","583,0"
42 /_1508177463/redot.gif,1,125,125,125,"0,00","0,000%","8,00000","4,55","4,61","583,0"
44 /_1508177464315/redot.gif,1,120,120,120,"0,00","0,000%","8,33333","4,74","5,47","583,0"
45 /1/hit.t,1,158,158,158,"0,00","0,000%","6,32911","5,52","10,77","893,0"
46 /_1508177464062/ad.js,1,77,77,77,"0,00","0,000%","12,98701","21,28","7,44","1678,0"
48 /bb-mxad/gettag,1,114,114,114,"0,00","0,000%","8,77193","2,45","2,51","286,0"
49 /_1508177464053/ad.js,1,81,81,81,"0,00","0,000%","12,34568","12,83","5,77","1064,0"
50 /_1508177463518/ad.js,1,98,98,98,"0,00","0,000%","10,20408","22,06","5,85","2214,0"
47 /bb-mx/submit,1,222,222,222,"0,00","0,000%","4,50450","1,28","4,51","291,0"
adservice.google.pl:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
adservice.google.com:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
pagead2.googlesyndication.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
51 /success.txt,1,207,207,207,"0,00","0,000%","4,83092","1,81","1,45","384,0"
secure.adnxs.com:443,2,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
52 /_1508177465244/redot.gif/id=..rrELvewFvJEMHqvJ9F92ZUfZWNEQe3B9WYPFrCk9..D7/stparam=sdfmgodsue/fastid=moajzjzhftzvyegdkovqcxixdtnj/sarg=59DFE50A4C941D20,1,83,83,83,"0,00","0,000%","12,04819","6,86","7,26","583,0"
code.createjs.com:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
53 /success.txt,1,157,157,157,"0,00","0,000%","6,36943","2,39","1,91","384,0"
54 /data,1,147,147,147,"0,00","0,000%","6,80272","2,05","12,71","308,0"
56 /_1508177465607/redot.gif,1,128,128,128,"0,00","0,000%","7,81250","4,45","4,27","583,0"
55 /data,1,157,157,157,"0,00","0,000%","6,36943","1,92","11,87","308,0"
57 /_1508177465639/redot.gif/id=..rrELvewFvJEMHqvJ9F92ZUfZWNEQe3B9WYPFrCk9..D7/stparam=rnpemkmqoj/fastid=catzicxequrpmncxewdwoginbllt/sarg=59DFE50A4C941D20,1,119,119,119,"0,00","0,000%","8,40336","4,78","5,06","583,0"
58 /success.txt,1,218,218,218,"0,00","0,000%","4,58716","1,72","1,38","384,0"
googleads.g.doubleclick.net:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
59 /success.txt,1,156,156,156,"0,00","0,000%","6,41026","2,40","1,92","384,0"
securepubads.g.doubleclick.net:443,1,0,0,0,"0,00","100,000%",",00000","0,00","0,00","1549,0"
60 /data,1,128,128,128,"0,00","0,000%","7,81250","2,35","14,56","308,0"
61 /success.txt,1,159,159,159,"0,00","0,000%","6,28931","2,36","1,89","384,0"
62 /data,1,129,129,129,"0,00","0,000%","7,75194","2,33","13,84","308,0"
63 /frontend/api/sendData.js,1,220,220,220,"0,00","0,000%","4,54545","2,45","2,14","553,0"
64 /data,1,105,105,105,"0,00","0,000%","9,52381","2,86","4,63","308,0"
65 /_1508177472390/rexdot.js,1,75,75,75,"0,00","0,000%","13,33333","8,45","9,93","649,0"
RAZEM,81,107,0,269,"67,33","19,753%","12,64637","21,83","6,88","1768,0"
